# Pixel	Position
355.00	1813.00
356.00	1814.00
357.00	1815.00
358.00	1843.00
359.00	1844.00
360.00	1845.00
361.00	1846.00
362.00	1847.00
363.00	1848.00
364.00	1849.00
365.00	1850.00
366.00	1851.00
367.00	1852.00
368.00	1853.00
369.00	1854.00
370.00	1855.00
371.00	1856.00
372.00	1857.00
373.00	1858.00
374.00	1859.00
375.00	1860.00
376.00	1861.00
377.00	1862.00
378.00	1863.00
379.00	1864.00
380.00	1865.00
381.00	1866.00
382.00	1867.00
383.00	1868.00
384.00	1869.00
385.00	1870.00
386.00	1871.00
387.00	1872.00
388.00	1873.00
389.00	1874.00
390.00	1875.00
391.00	1876.00
392.00	1904.00
393.00	1905.00
394.00	1906.00
395.00	1907.00
396.00	1908.00
397.00	1909.00
398.00	1910.00
399.00	1911.00
400.00	1912.00
401.00	1913.00
402.00	1914.00
403.00	1915.00
404.00	1916.00
405.00	1917.00
406.00	1918.00
407.00	1919.00
408.00	1920.00
409.00	1921.00
410.00	1922.00
411.00	1923.00
412.00	1924.00
413.00	1925.00
414.00	1926.00
415.00	1927.00
416.00	1928.00
417.00	1929.00
418.00	1930.00
419.00	1931.00
420.00	1932.00
421.00	1933.00
422.00	1934.00
423.00	1935.00
424.00	1936.00
425.00	1937.00
426.00	1964.00
427.00	1965.00
428.00	1966.00
429.00	1967.00
430.00	1968.00
431.00	1969.00
432.00	1970.00
433.00	1971.00
434.00	1972.00
435.00	1973.00
436.00	1974.00
437.00	1975.00
438.00	1976.00
439.00	1977.00
440.00	1978.00
441.00	1979.00
442.00	1980.00
443.00	1981.00
444.00	1982.00
445.00	1983.00
446.00	1984.00
447.00	1985.00
448.00	1986.00
449.00	1987.00
450.00	1988.00
451.00	1989.00
452.00	1990.00
453.00	1991.00
454.00	1992.00
455.00	1993.00
456.00	1994.00
457.00	1995.00
458.00	1996.00
459.00	1997.00
460.00	2025.00
461.00	2026.00
462.00	2027.00
463.00	2028.00
464.00	2029.00
465.00	2030.00
466.00	2031.00
467.00	2032.00
468.00	2033.00
469.00	2034.00
470.00	2035.00
471.00	2036.00
472.00	2037.00
473.00	2038.00
474.00	2039.00
475.00	2040.00
476.00	2041.00
477.00	2042.00
478.00	2043.00
479.00	2044.00
480.00	2045.00
481.00	2046.00
482.00	2047.00
483.00	2048.00
484.00	2049.00
485.00	2050.00
486.00	2051.00
487.00	2052.00
488.00	2053.00
489.00	2054.00
490.00	2055.00
491.00	2056.00
492.00	2057.00
493.00	2058.00
494.00	2086.00
495.00	2087.00
